signe,participant_ID,âge,sexe,Natif,AoA,utilisation_LSF,surdité,note_freq,note_concret,note_iconic
mignon,A1,27,F,1,0,5,1,5,5,1
mignon,A2,26,F,0,16,3,0,4,3,2
mignon,A3,26,M,1,0,5,1,5,3,4
mignon,A4,41,F,0,9,5,1,5,5,2
mignon,A5,27,M,1,0,5,1,2,5,3
mignon,A6,47,M,0,12,5,1,5,5,3
mignon,A7,52,M,0,16,5,1,5,1,1
mignon,A8,22,F,0,11,4,1,1,4,1
mignon,A9,28,M,1,0,5,1,5,5,4
mignon,A10,36,M,1,0,5,1,4,1,2
mignon,A11,33,M,1,0,5,1,5,3,1
mignon,A12,25,M,1,0,3,1,4,5,5
mignon,A13,22,F,0,6,2,1,4,5,1
mignon,A14,69,F,0,24,3,0,5,5,1
mignon,A15,34,M,1,0,5,1,4,3,3
mignon,A16,25,F,0,16,4,1,5,5,5
vomir,A1,27,F,1,0,5,1,5,5,5
vomir,A2,26,F,0,16,3,0,2,4,5
vomir,A3,26,M,1,0,5,1,5,4,5
vomir,A4,41,F,0,9,5,1,4,4,5
vomir,A5,27,M,1,0,5,1,3,5,5
vomir,A6,47,M,0,12,5,1,4,4,4
vomir,A7,52,M,0,16,5,1,4,5,5
vomir,A8,22,F,0,11,4,1,1,5,5
vomir,A9,28,M,1,0,5,1,4,4,4
vomir,A10,36,M,1,0,5,1,3,5,5
vomir,A11,33,M,1,0,5,1,5,5,5
vomir,A12,25,M,1,0,3,1,2,5,4
vomir,A13,22,F,0,6,2,1,3,5,5
vomir,A14,69,F,0,24,3,0,3,5,4
vomir,A15,34,M,1,0,5,1,3,5,5
vomir,A16,25,F,0,16,4,1,3,4,5
réviser,A1,27,F,1,0,5,1,5,5,1
réviser,A2,26,F,0,16,3,0,1,4,3
réviser,A3,26,M,1,0,5,1,5,4,2
réviser,A4,41,F,0,9,5,1,4,4,2
réviser,A5,27,M,1,0,5,1,5,5,2
réviser,A6,47,M,0,12,5,1,3,4,4
réviser,A7,52,M,0,16,5,1,4,1,1
réviser,A8,22,F,0,11,4,1,1,4,1
réviser,A9,28,M,1,0,5,1,5,5,4
réviser,A10,36,M,1,0,5,1,4,2,3
réviser,A11,33,M,1,0,5,1,3,3,2
réviser,A12,25,M,1,0,3,1,3,5,5
réviser,A13,22,F,0,6,2,1,5,1,1
réviser,A14,69,F,0,24,3,0,4,2,2
réviser,A15,34,M,1,0,5,1,4,5,1
réviser,A16,25,F,0,16,4,1,4,4,3
comprendre,A1,27,F,1,0,5,1,5,1,1
comprendre,A2,26,F,0,16,3,0,4,3,3
comprendre,A3,26,M,1,0,5,1,5,2,4
comprendre,A4,41,F,0,9,5,1,5,4,2
comprendre,A5,27,M,1,0,5,1,5,5,3
comprendre,A6,47,M,0,12,5,1,5,5,5
comprendre,A7,52,M,0,16,5,1,5,1,1
comprendre,A8,22,F,0,11,4,1,3,5,2
comprendre,A9,28,M,1,0,5,1,5,4,5
comprendre,A10,36,M,1,0,5,1,5,3,3
comprendre,A11,33,M,1,0,5,1,5,4,2
comprendre,A12,25,M,1,0,3,1,5,5,5
comprendre,A13,22,F,0,6,2,1,5,1,3
comprendre,A14,69,F,0,24,3,0,5,2,3
comprendre,A15,34,M,1,0,5,1,5,4,1
comprendre,A16,25,F,0,16,4,1,5,4,3
demander,A1,27,F,1,0,5,1,5,1,1
demander,A2,26,F,0,16,3,0,3,2,5
demander,A3,26,M,1,0,5,1,5,1,1
demander,A4,41,F,0,9,5,1,5,4,2
demander,A5,27,M,1,0,5,1,5,3,2
demander,A6,47,M,0,12,5,1,5,5,5
demander,A7,52,M,0,16,5,1,5,1,1
demander,A8,22,F,0,11,4,1,3,5,3
demander,A9,28,M,1,0,5,1,5,4,2
demander,A10,36,M,1,0,5,1,5,3,2
demander,A11,33,M,1,0,5,1,4,5,2
demander,A12,25,M,1,0,3,1,5,5,4
demander,A13,22,F,0,6,2,1,5,1,2
demander,A14,69,F,0,24,3,0,5,3,2
demander,A15,34,M,1,0,5,1,5,5,1
demander,A16,25,F,0,16,4,1,5,5,3
infirmier,A1,27,F,1,0,5,1,4,1,5
infirmier,A2,26,F,0,16,3,0,1,1,3
infirmier,A3,26,M,1,0,5,1,3,2,4
infirmier,A4,41,F,0,9,5,1,4,4,4
infirmier,A5,27,M,1,0,5,1,4,5,5
infirmier,A6,47,M,0,12,5,1,3,4,3
infirmier,A7,52,M,0,16,5,1,4,1,2
infirmier,A8,22,F,0,11,4,1,1,5,5
infirmier,A9,28,M,1,0,5,1,3,4,5
infirmier,A10,36,M,1,0,5,1,4,4,5
infirmier,A11,33,M,1,0,5,1,3,4,5
infirmier,A12,25,M,1,0,3,1,2,3,2
infirmier,A13,22,F,0,6,2,1,1,3,3
infirmier,A14,69,F,0,24,3,0,4,4,4
infirmier,A15,34,M,1,0,5,1,4,3,5
infirmier,A16,25,F,0,16,4,1,5,5,5
soir,A1,27,F,1,0,5,1,5,1,1
soir,A2,26,F,0,16,3,0,4,3,2
soir,A3,26,M,1,0,5,1,5,3,5
soir,A4,41,F,0,9,5,1,5,5,3
soir,A5,27,M,1,0,5,1,5,5,5
soir,A6,47,M,0,12,5,1,4,4,4
soir,A7,52,M,0,16,5,1,5,1,2
soir,A8,22,F,0,11,4,1,2,4,5
soir,A9,28,M,1,0,5,1,5,4,4
soir,A10,36,M,1,0,5,1,5,3,4
soir,A11,33,M,1,0,5,1,5,4,5
soir,A12,25,M,1,0,3,1,5,5,5
soir,A13,22,F,0,6,2,1,5,3,4
soir,A14,69,F,0,24,3,0,5,4,3
soir,A15,34,M,1,0,5,1,5,5,5
soir,A16,25,F,0,16,4,1,5,5,4
marron,A1,27,F,1,0,5,1,5,1,1
marron,A2,26,F,0,16,3,0,5,4,3
marron,A3,26,M,1,0,5,1,5,1,4
marron,A4,41,F,0,9,5,1,5,5,2
marron,A5,27,M,1,0,5,1,2,1,1
marron,A6,47,M,0,12,5,1,5,5,5
marron,A7,52,M,0,16,5,1,5,1,1
marron,A8,22,F,0,11,4,1,1,4,1
marron,A9,28,M,1,0,5,1,5,2,2
marron,A10,36,M,1,0,5,1,4,4,2
marron,A11,33,M,1,0,5,1,4,2,1
marron,A12,25,M,1,0,3,1,5,5,5
marron,A13,22,F,0,6,2,1,3,1,1
marron,A14,69,F,0,24,3,0,3,2,2
marron,A15,34,M,1,0,5,1,4,1,1
marron,A16,25,F,0,16,4,1,1,2,2
vélo,A1,27,F,1,0,5,1,5,5,5
vélo,A2,26,F,0,16,3,0,2,3,4
vélo,A3,26,M,1,0,5,1,5,5,5
vélo,A4,41,F,0,9,5,1,5,4,2
vélo,A5,27,M,1,0,5,1,4,5,5
vélo,A6,47,M,0,12,5,1,5,5,5
vélo,A7,52,M,0,16,5,1,5,4,3
vélo,A8,22,F,0,11,4,1,1,5,4
vélo,A9,28,M,1,0,5,1,5,4,5
vélo,A10,36,M,1,0,5,1,4,5,3
vélo,A11,33,M,1,0,5,1,5,3,3
vélo,A12,25,M,1,0,3,1,4,4,5
vélo,A13,22,F,0,6,2,1,4,4,4
vélo,A14,69,F,0,24,3,0,4,2,1
vélo,A15,34,M,1,0,5,1,4,5,5
vélo,A16,25,F,0,16,4,1,4,4,5
passion,A1,27,F,1,0,5,1,4,1,1
passion,A2,26,F,0,16,3,0,4,3,2
passion,A3,26,M,1,0,5,1,5,1,2
passion,A4,41,F,0,9,5,1,4,4,4
passion,A5,27,M,1,0,5,1,3,4,4
passion,A6,47,M,0,12,5,1,3,5,4
passion,A7,52,M,0,16,5,1,4,1,1
passion,A8,22,F,0,11,4,1,1,2,1
passion,A9,28,M,1,0,5,1,3,2,2
passion,A10,36,M,1,0,5,1,3,4,4
passion,A11,33,M,1,0,5,1,4,3,1
passion,A12,25,M,1,0,3,1,5,5,5
passion,A13,22,F,0,6,2,1,5,1,1
passion,A14,69,F,0,24,3,0,1,2,4
passion,A15,34,M,1,0,5,1,5,3,1
passion,A16,25,F,0,16,4,1,4,4,5
quoi,A1,27,F,1,0,5,1,5,1,1
quoi,A2,26,F,0,16,3,0,2,2,2
quoi,A3,26,M,1,0,5,1,5,1,1
quoi,A4,41,F,0,9,5,1,5,5,4
quoi,A5,27,M,1,0,5,1,5,5,3
quoi,A6,47,M,0,12,5,1,5,4,5
quoi,A7,52,M,0,16,5,1,5,1,2
quoi,A8,22,F,0,11,4,1,3,5,1
quoi,A9,28,M,1,0,5,1,5,4,2
quoi,A10,36,M,1,0,5,1,5,2,1
quoi,A11,33,M,1,0,5,1,5,3,1
quoi,A12,25,M,1,0,3,1,5,5,5
quoi,A13,22,F,0,6,2,1,5,1,1
quoi,A14,69,F,0,24,3,0,5,2,2
quoi,A15,34,M,1,0,5,1,5,1,1
quoi,A16,25,F,0,16,4,1,5,5,5
cocon,A1,27,F,1,0,5,1,1,5,5
